position_name,location,position_count,date_scrapping
data engineer,"Salt Lake City, Utah",222,53:56.0
data engineer,"Miami, Florida",247,59:08.3
data engineer,"Charlotte, North Carolina",296,05:29.0
data engineer,"Charlotte, North Carolina",307,46:29.0
data engineer,"Columbus, Ohio",245,54:29.8
data engineer,"Orlando, Florida",233,00:32.7
data engineer,"Tampa, Florida",274,06:23.5
data engineer,"St. Louis, Missouri",243,13:01.5
data engineer,"Kansas City, Missouri",245,19:11.8
data engineer,"Charlotte, North Carolina",297,37:46.2
data engineer,"Columbus, Ohio",235,45:43.8
data engineer,"Orlando, Florida",225,51:47.7
data engineer,"Tampa, Florida",262,57:47.2
data engineer,"St. Louis, Missouri",220,04:56.3
data engineer,"Kansas City, Missouri",227,10:26.6
data engineer,"San Antonio, Texas",220,16:01.4
data engineer,"Charlotte, North Carolina",295,52:13.7
data engineer,"Charlotte, North Carolina",297,02:48.0
data engineer,"Charlotte, North Carolina",293,10:48.2
data engineer,"Charlotte, North Carolina",299,20:02.2
data engineer,"Columbus, Ohio",238,27:39.3
data engineer,"Orlando, Florida",222,32:56.0
data engineer,"Tampa, Florida",267,37:56.3
data engineer,"St. Louis, Missouri",233,43:28.4
data engineer,"Kansas City, Missouri",231,48:38.6
data engineer,"San Antonio, Texas",220,54:30.9
data engineer,"Tampa, Florida",269,50:21.7
data engineer,"Tampa, Florida",267,27:23.9
data engineer,"Tampa, Florida",270,38:05.7
data engineer,"Tampa, Florida",268,46:54.7
data engineer,"Tampa, Florida",264,59:21.3
data engineer,"San Francisco, California",297,12:31.8
data engineer,"San Diego, California",225,20:39.9
data engineer,"Phoenix, Arizona",275,33:21.6
data engineer,"Phoenix, Arizona",274,33:23.2
data engineer,"Philadelphia, Pennsylvania",311,40:51.2
data engineer,"Philadelphia, Pennsylvania",312,42:13.8
data engineer,"Pittsburgh, Pennsylvania",225,59:39.8
data engineer,"Nashville, Tennessee",235,08:29.3
data engineer,"Indianapolis, Indiana",230,14:23.5
data engineer,"Salt Lake City, Utah",223,20:55.9
data engineer,"Miami, Florida",244,26:44.5
data engineer,"Charlotte, North Carolina",300,33:10.5
data engineer,"Columbus, Ohio",244,41:26.7
data engineer,"Orlando, Florida",221,48:18.9
data engineer,"St. Louis, Missouri",42,54:24.0
data engineer,"Kansas City, Missouri",243,55:48.2
data engineer,"San Antonio, Texas",226,02:20.1
data engineer,"Washington, DC",776,28:06.7
data engineer,"Phoenix, Arizona",271,11:00.5
data engineer,"Charlotte, North Carolina",285,19:32.5
data engineer,"Denver, Colorado",240,27:29.0
data engineer,"Houston, Texas",275,34:07.9
data engineer,Los Angeles California,297,42:02.4
data engineer,"San Jose, California",332,50:47.9
data engineer,"Seattle, Washington",269,58:57.8
data engineer,"Phoenix, Arizona",268,11:07.6
data engineer,"Charlotte, North Carolina",286,18:53.3
data engineer,"Washington, DC",775,26:52.8
data engineer,"Washington, DC",843,57:37.2
data engineer,"Washington, DC",844,23:25.8
data engineer,"Washington, DC",843,25:39.8
data engineer,"Washington, DC",796,20:52.1
data engineer,"Washington, DC",796,23:43.2
data engineer,"Washington, DC",802,55:35.5
data engineer,"Washington, DC",768,43:17.8
data engineer,"Atlanta, Georgia",313,17:36.9
data engineer,"Austin, Texas",282,26:03.7
data engineer,"Boston, Massachusetts",322,33:23.3
data engineer,"Charlotte, North Carolina",287,41:57.0
data engineer,"Chicago, Illinois",347,50:12.3
data engineer,"Columbus, Ohio",225,15:58.6
data engineer,"Dallas, Texas",341,21:53.9
data engineer,"Denver, Colorado",262,31:46.6
data engineer,"Houston, Texas",261,38:42.5
data engineer,"Indianapolis, Indiana",207,45:12.8
data engineer,"Kansas City, Missouri",207,51:05.5
data engineer,"Los Angeles, California",274,56:57.2
data engineer,"Miami, Florida",235,04:52.9
data engineer,"Minneapolis, Minnesota",243,11:40.4
data engineer,"Nashville, Tennessee",219,18:26.1
data engineer,"New York City, New York",505,13:35.0
data engineer,"Orlando, Florida",199,27:24.4
data engineer,"Philadelphia, Pennsylvania",279,33:08.8
data engineer,"Phoenix, Arizona",235,40:40.1
data engineer,"Pittsburgh, Pennsylvania",221,46:34.7
data engineer,"Portland, Oregon",224,33:33.4
data engineer,"Raleigh, North Carolina",255,40:10.1
data engineer,"Salt Lake City, Utah",212,46:48.3
data engineer,"San Antonio, Texas",216,53:17.0
data engineer,"San Diego, California",243,59:29.4
data engineer,"San Francisco, California",285,44:49.5
data engineer,"San Jose, California",327,51:40.7
data engineer,"Seattle, Washington",265,01:06.0
data engineer,"San Francisco, California",285,09:29.9
data engineer,"San Jose, California",332,18:13.9
data engineer,"Seattle, Washington",279,27:13.1
data engineer,"Seattle, Washington",293,33:57.7
data engineer,"St. Louis, Missouri",246,46:08.7
