data engineer,"Kansas City, Missouri",308,2023-04-10 16:21:24.818244
data engineer,"San Antonio, Texas",303,2023-04-10 16:29:05.971569
data engineer,"Denver, Colorado",319,2023-04-20 16:15:05.162000
data engineer,San Jose California,507,2023-04-20 16:23:35.759448
data engineer,"Atlanta, Georgia",456,2023-04-20 16:37:58.642485
data engineer,"San Francisco, California",403,2023-04-20 16:49:47.623137
data engineer,"Seattle, Washington",390,2023-04-20 17:00:53.004659
data engineer,"New York City, New York",972,2023-04-20 17:10:44.353468
data engineer,"Washington, DC",843,2023-04-20 20:24:26.840232
data engineer,"Boston, Massachusetts",488,2023-04-20 21:14:39.540072
data engineer,"Austin, Texas",404,2023-04-20 21:28:08.173556
data engineer,"Chicago, Illinois",504,2023-04-20 21:38:57.693852
data engineer,Los Angeles California,401,2023-04-20 21:52:21.275735
data engineer,"Dallas, Texas",532,2023-04-20 22:02:54.673457
data engineer,"Houston, Texas",387,2023-04-20 22:16:22.520047
data engineer,"Raleigh, North Carolina",387,2023-04-21 09:17:44.783225
data engineer,"Minneapolis, Minnesota",367,2023-04-21 09:28:03.882353
data engineer,"Portland, Oregon",323,2023-04-21 09:38:23.159899
data engineer,"San Diego, California",315,2023-04-21 09:46:34.640592
data engineer,"Phoenix, Arizona",357,2023-04-21 09:54:42.537300
data engineer,"Philadelphia, Pennsylvania",448,2023-04-21 10:04:22.045787
data engineer,"Pittsburgh, Pennsylvania",309,2023-04-21 10:15:37.605848
data engineer,"Nashville, Tennessee",303,2023-04-21 10:24:07.660429
data engineer,"Indianapolis, Indiana",298,2023-04-21 10:32:24.257171
data engineer,"Salt Lake City, Utah",295,2023-04-21 10:40:10.437495
data engineer,"Miami, Florida",303,2023-04-21 10:47:57.577834
data engineer,"Charlotte, North Carolina",394,2023-04-21 10:56:56.124613
data engineer,"Columbus, Ohio",307,2023-04-21 11:07:00.050219
data engineer,"Orlando, Florida",256,2023-04-21 11:14:54.252044
data engineer,"Tampa, Florida",289,2023-04-21 11:21:08.655933
data engineer,"St. Louis, Missouri",272,2023-04-21 21:26:50.816224
data engineer,"St. Louis, Missouri",267,2023-04-22 09:18:02.600046
data engineer,"Kansas City, Missouri",239,2023-04-22 09:25:07.257947
data engineer,"Kansas City, Missouri",242,2023-04-22 10:15:13.945244
data engineer,"San Antonio, Texas",262,2023-04-22 10:20:57.240136
data engineer,"Denver, Colorado",254,2023-04-27 07:20:34.995745
data engineer,San Jose California,338,2023-04-27 07:27:29.721075
